Summary,Description,Test Type,Test Set,Precondition,Steps,Priority
Test Case ID,Description,Manual,DE-51713,Precondition,Steps | Expected: Expected Result,Priority
TC011,"Verify selecting all ""no"" on medical questions results in auto‑approve",Manual,DE-51713,"All medical questions answered ""No""","1. Answer all items with ""No"". 2. Proceed. | Expected: Transaction is auto‑approved; no workflow status",High
TC012,Verify user must agree to disclaimer to proceed,Manual,DE-51713,On health record page,1. Leave disclaimer unchecked. 2. Click Next. | Expected: System prevents progression and prompts to accept disclaimer,High
TC013,Verify freelancer user must upload document,Manual,DE-51713,User type = Freelancer (purpose = Freelancer),1. Proceed to document upload step. 2. Attempt to continue without file. | Expected: System shows validation error requiring document upload,High
TC014,Verify non‑freelancer user does not need to upload document (unless medical yes),Manual,DE-51713,"User selected purpose other than Freelancer and all medical answers ""No""",1. Navigate to document upload step. 2. Observe if upload required. | Expected: Upload section is optional; user can proceed without upload,Medium
TC015,"Verify document upload required when any medical answer is ""Yes""",Manual,DE-51713,"User selected ""Yes"" on any medical question","1. Proceed to document upload step. 2. Observe requirement. | Expected: System requires upload of supporting document (e.g., medical report)",High
TC016,Verify review page displays all entered information,Manual,DE-51713,User has completed Steps 2‑4,"1. Go to Review step. 2. Verify displayed data matches input. | Expected: All entered details (engagement, health, documents) are shown for review",High
TC017,Verify successful submission shows confirmation message with request ID,Manual,DE-51713,Review data correct; user clicks Submit,"1. Click Submit. 2. Observe confirmation. | Expected: Confirmation message displayed, includes unique request ID",High
TC018,Verify failed submission displays error message from backend,Manual,DE-51713,"Backend returns error (e.g., validation failure)",1. Submit request. 2. Simulate backend error. | Expected: Error message from backend displayed (English/Arabic),High
TC019,Validate error message for active engagement,Manual,DE-51713,User has active engagement with GOSI,"1. Attempt registration. 2. Observe message. | Expected: Message: ""Person has an active engagement with GOSI, cannot be registered as a VIC."" (EN/AR)",High
TC020,Validate error message for age less than 18,Manual,DE-51713,User age < 18,"1. Attempt registration. 2. Observe message. | Expected: Message: ""Person is less than 18 years of age, cannot be registered as a VIC."" (EN/AR)",High
TC021,Validate error message for age more than 65,Manual,DE-51713,User age > 65,"1. Attempt registration. 2. Observe message. | Expected: Message: ""Person is more than 65 years of age, cannot be registered as a VIC."" (EN/AR)",High
TC022,Validate error message for NIC no match,Manual,DE-51713,NIC returns no match for user,"1. Attempt registration. 2. Observe message. | Expected: Message: ""No match found with NIC."" (EN/AR)",High
TC023,Validate error message for deceased person,Manual,DE-51713,NIC indicates person is deceased,"1. Attempt registration. 2. Observe message. | Expected: Message: ""Person is deceased, cannot be added as a VIC."" (EN/AR)",High
TC024,Validate error message for government employee,Manual,DE-51713,User is a government employee,"1. Attempt registration. 2. Observe message. | Expected: Message: ""Person is a Government employee, cannot be registered as a VIC."" (EN/AR)",High
TC025,Validate NIC service unavailable after three attempts,Manual,DE-51713,NIC service is down and does not respond thrice,"1. Perform registration; NIC service fails thrice. 2. Observe message. | Expected: Message: ""NIC service is down and does not respond thrice. Please try later."" (EN/AR)",High
TC026,Verify nationality requirement (Saudi),Manual,DE-51713,User is non‑Saudi,"1. Try to register. 2. Observe error. | Expected: System displays message ""User must be Saudi nationality to register as VIC."" (or similar)",High
TC027,Verify age range for previous engagement (15‑17 with previous engagement),Manual,DE-51713,User age 15‑17 and has previous engagement,1. Attempt registration. 2. Observe acceptance. | Expected: System allows registration (previous engagement overrides age lower bound),Medium
TC028,Verify user can update wage for each year; activation occurs in January of next year,Manual,DE-51713,Current date is before January of next year,1. Select wage for current year. 2. Try to update wage for next year before January. | Expected: System prevents update; message indicates activation in January,Low
TC029,Verify purpose of registration translations displayed correctly for Arabic and English,Manual,DE-51713,User language set to Arabic,"1. View purpose list. 2. Verify Arabic labels. | Expected: Arabic descriptions shown correctly (e.g., ""عامل حر"")",Medium
TC030,Verify error messages displayed in both languages,Manual,DE-51713,Both English and Arabic locales,1. Trigger each validation error. 2. Switch language. | Expected: Corresponding EN/AR messages appear for each error,Medium
