Summary,Description,Test Type,Test Set,Precondition,Steps,Priority
Test Case ID,Description,Manual,,Precondition,Steps | Expected: Expected Result,Priority
TC011,"Verify selecting all ""no"" on medical questions results in auto‑approve",Manual,,"User has valid Superapp credentials and all medical answers are ""No""","1. Login to Superapp. 2. Answer all medical items with ""No"". 3. Proceed to next step. | Expected: Transaction is auto‑approved; no workflow status",High
TC012,Verify user must agree to disclaimer to proceed,Manual,,User has valid Superapp credentials and is on health record page,1. Login to Superapp. 2. Leave disclaimer unchecked. 3. Click Next. | Expected: System prevents progression and prompts to accept disclaimer,High
TC013,Verify freelancer user must upload document,Manual,,User has valid Superapp credentials and user type = Freelancer (purpose = Freelancer),1. Login to Superapp. 2. Proceed to document upload step. 3. Attempt to continue without file. | Expected: System shows validation error requiring document upload,High
TC014,Verify non‑freelancer user does not need to upload document (unless medical yes),Manual,,"User has valid Superapp credentials, selected purpose other than Freelancer, and all medical answers ""No""",1. Login to Superapp. 2. Navigate to document upload step. 3. Observe if upload required. | Expected: Upload section is optional; user can proceed without upload,Medium
TC015,"Verify document upload required when any medical answer is ""Yes""",Manual,,"User has valid Superapp credentials and selected ""Yes"" on any medical question","1. Login to Superapp. 2. Proceed to document upload step. 3. Observe requirement. | Expected: System requires upload of supporting document (e.g., medical report)",High
TC016,Verify review page displays all entered information,Manual,,User has valid Superapp credentials and has completed Steps 2‑4,"1. Login to Superapp. 2. Go to Review step. 3. Verify displayed data matches input. | Expected: All entered details (engagement, health, documents) are shown for review",High
TC017,Verify successful submission shows confirmation message with request ID,Manual,,"User has valid Superapp credentials, review data correct; user clicks Submit","1. Login to Superapp. 2. Click Submit. 3. Observe confirmation. | Expected: Confirmation message displayed, includes unique request ID",High
TC018,Verify failed submission displays error message from backend,Manual,,"User has valid Superapp credentials; backend returns error (e.g., validation failure)",1. Login to Superapp. 2. Submit request. 3. Simulate backend error. | Expected: Error message from backend displayed (English/Arabic),High
TC019,Validate error message for active engagement,Manual,,User has valid Superapp credentials and has active engagement with GOSI,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""Person has an active engagement with GOSI, cannot be registered as a VIC."" (EN/AR)",High
TC020,Validate error message for age less than 18,Manual,,User has valid Superapp credentials and age < 18,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""Person is less than 18 years of age, cannot be registered as a VIC."" (EN/AR)",High
TC021,Validate error message for age more than 65,Manual,,User has valid Superapp credentials and age > 65,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""Person is more than 65 years of age, cannot be registered as a VIC."" (EN/AR)",High
TC022,Validate error message for NIC no match,Manual,,User has valid Superapp credentials and NIC returns no match for user,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""No match found with NIC."" (EN/AR)",High
TC023,Validate error message for deceased person,Manual,,User has valid Superapp credentials and NIC indicates person is deceased,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""Person is deceased, cannot be added as a VIC."" (EN/AR)",High
TC024,Validate error message for government employee,Manual,,User has valid Superapp credentials and user is a government employee,"1. Login to Superapp. 2. Attempt registration. 3. Observe message. | Expected: Message: ""Person is a Government employee, cannot be registered as a VIC."" (EN/AR)",High
TC025,Validate NIC service unavailable after three attempts,Manual,,User has valid Superapp credentials; NIC service is down and does not respond thrice,"1. Login to Superapp. 2. Perform registration; NIC service fails thrice. 3. Observe message. | Expected: Message: ""NIC service is down and does not respond thrice. Please try later."" (EN/AR)",High
TC026,Verify nationality requirement (Saudi),Manual,,User has valid Superapp credentials and is non‑Saudi,"1. Login to Superapp. 2. Try to register. 3. Observe error. | Expected: System displays message ""User must be Saudi nationality to register as VIC."" (or similar)",High
TC027,Verify age range for previous engagement (15‑17 with previous engagement),Manual,,"User has valid Superapp credentials, age 15‑17, and has previous engagement",1. Login to Superapp. 2. Attempt registration. 3. Observe acceptance. | Expected: System allows registration (previous engagement overrides age lower bound),Medium
TC028,Verify user can update wage for each year; activation occurs in January of next year,Manual,,User has valid Superapp credentials; current date is before January of next year,1. Login to Superapp. 2. Select wage for current year. 3. Try to update wage for next year before January. | Expected: System prevents update; message indicates activation in January,Low
TC029,Verify purpose of registration translations displayed correctly for Arabic and English,Manual,,User has valid Superapp credentials; user language set to Arabic,"1. Login to Superapp. 2. Set language to Arabic (if not already). 3. View purpose list. 4. Verify Arabic labels. | Expected: Arabic descriptions shown correctly (e.g., ""عامل حر"")",Medium
TC030,Verify error messages displayed in both languages,Manual,,User has valid Superapp credentials; both English and Arabic locales,1. Login to Superapp. 2. Set language to Arabic. 3. Trigger each validation error. 4. Switch language to English and trigger again. | Expected: Corresponding EN/AR messages appear for each error,Medium
